path,bytes,classification,planned_action,current_status,over_100_MiB,sha256,notes
.gitattributes,159,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,8400dc040cd8a9c6e463e952a0d406632503a49bb08261cee36fe9c0b5d0c6d3,"Mutable public wrapper, metadata, or verification file"
.gitignore,314,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,435eb9c690370091203e9680558e9b430475c1d8771652e15189fe107c1afe47,"Mutable public wrapper, metadata, or verification file"
CITATION.cff,820,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,5e55b1524112ad4d7e22d9b73753127bd4420b6f0da203371e4c1c10d5be6298,"Mutable public wrapper, metadata, or verification file"
collection/ai-index.txt,271,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,bc64a5f092e4b1586be87eadacdf3abe582719b0d865a01ec17f2e05b491c67d,"Mutable public wrapper, metadata, or verification file"
collection/atlas/graph.json,72609,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,610374dc6603d4fd16cc4e45c77b453659082c11b34485f65142ed5647db08d3,"Mutable public wrapper, metadata, or verification file"
collection/citations.bib,5537,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,0ab9d17a72a127f4f364fd813473699dd1b2d9a7a688629c2add5dd7a2bd391a,"Mutable public wrapper, metadata, or verification file"
collection/collection_and_continuity_record_model.csv,872,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,9d0891c2ea0e171932d4f4d847d904e63c153924f61ab5908999aa6141373dc9,"Mutable public wrapper, metadata, or verification file"
collection/CROSS_REPOSITORY_AUDIT_CORRECTIONS_v0_1.md,879,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,be9028911ce236e50472c8f5f8bfd4f9b340e308eaf0fc5551e8980c64942483,"Mutable public wrapper, metadata, or verification file"
collection/deployment_verification_checklist.csv,1972,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,629615c14ece1965f73d27356c9696771899220a41b761e6698b330876c017ca,"Mutable public wrapper, metadata, or verification file"
collection/for-ai.md,1189,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,71b1b989a44c7a276f7bacab8a33c571b28b7526a53f24487490101937b643f6,"Mutable public wrapper, metadata, or verification file"
collection/github_metadata_matrix.csv,4248,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,734056ef503c40b761f2b3880a28e2bf6bf29c116f96dab54f48f95077307aa7,"Mutable public wrapper, metadata, or verification file"
collection/GITHUB_OFFICIAL_CONSTRAINTS.md,926,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,80e2d8583e9192fa06605d595b59fc3126627d5b235271fc62b0121d412929b7,"Mutable public wrapper, metadata, or verification file"
collection/GITHUB_POST_COMMIT_INTEGRITY_CORRECTION_v0_1.json,1340,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,32c97ac3299b90712b05f0517a0ae88f767161b6c42e6975ca6b5deb5d1c4b39,"Mutable public wrapper, metadata, or verification file"
collection/GITHUB_POST_COMMIT_INTEGRITY_CORRECTION_v0_1.md,1065,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,cf69780c3e6b3042c61e62e339ecde82739e25960e2b20bf7f11e3f40dbdefe0,"Mutable public wrapper, metadata, or verification file"
collection/hashes.json,47614,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,7aff788fe754760f2ba018846fa3cabad3d619c2eb6c5e45b656df0d0408523f,"Mutable public wrapper, metadata, or verification file"
collection/INDEX.md,13294,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,244dec5ff775b065bbfab96b16089fd8b1f049f73ceb1e134d30d2fd67685c9a,"Mutable public wrapper, metadata, or verification file"
collection/release_inventory.csv,17364,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,682a354bba1fc037ffb9d75fee1591c1286b4fdec4b6d323b90a31f0ffef8c0b,"Mutable public wrapper, metadata, or verification file"
collection/release_inventory.json,75685,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,afbe6a8fd940e02bc5c5e5857d9fbb4bb461c6ba4cdff1b88103ed9e96bb688c,"Mutable public wrapper, metadata, or verification file"
collection/repository_metadata_templates.json,139298,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,f7c90e96b19c2bb544c86a75608ba74e0ce2e4b389902b5c6d54a1eec82159a4,"Mutable public wrapper, metadata, or verification file"
collection/source_deployment_manifest.json,8671,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,8d5018cfefc319d2b71e6cfbbb76a5acf26ea2a22a5c4dfe9eabdc400ec7768d,"Mutable public wrapper, metadata, or verification file"
documents/document_01/README.md,3460,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,62c097d45bb3bd40948b63465fe5273083ad36c18781d657cc40a92001d11abd,Locked or exact source artifact
documents/document_01/The_Interrogative_Conscience_Project_Architecture_Final_v1_0.pdf,167192,NORMAL_GIT_HISTORY,PRESERVE_OR_CORRECT_UNDER_AUTHORIZED_GITHUB_ACTION,GITHUB_PUBLIC_TREE_CORRECTED,NO,434a4bba06cfd0b6bf37fa782e0fb43bb14f1b58a70dceaa4ae5bc502808edd3,Locked or exact source artifact
